     GS10     TB3MS
    10.55       8.07
    10.54       7.94
    10.46       7.86
    10.72       8.11
    10.51       8.35
     10.4       8.21
    10.38       8.19
    10.85       8.79
    11.38       9.08
    11.85       9.34
    11.65       9.06
    11.54       8.64
    11.69       8.76
    11.83       9.06
    11.67        8.9
    11.84       9.09
    12.32       9.52
    12.63       9.69
    13.41       9.83
    13.56       9.87
    13.36      10.12
    12.72      10.47
    12.52      10.37
    12.16       9.74
    11.57       8.61
     11.5       8.06
    11.38       7.76
    11.51       8.27
    11.86       8.52
    11.43       7.95
    10.85       7.48
    10.16       6.95
    10.31       7.08
    10.33       7.14
    10.37        7.1
    10.24       7.16
     9.78       7.24
     9.26        7.1
     9.19       7.07
      8.7       7.06
     7.78       6.56
      7.3       6.06
     7.71       6.15
      7.8       6.21
      7.3       5.83
     7.17       5.53
     7.45       5.21
     7.43       5.18
     7.25       5.35
     7.11       5.53
     7.08       5.43
     7.25       5.59
     7.25       5.59
     8.02       5.64
     8.61       5.66
      8.4       5.67
     8.45       5.69
     8.76       6.04
     9.42        6.4
     9.52       6.13
     8.86       5.69
     8.99       5.77
     8.67       5.81
     8.21       5.66
     8.37        5.7
     8.72       5.91
     9.09       6.26
     8.92       6.46
     9.06       6.73
     9.26       7.06
     8.98       7.24
      8.8       7.35
     8.96       7.76
     9.11       8.07
     9.09       8.27
     9.17       8.53
     9.36       8.82
     9.18       8.65
     8.86       8.43
     8.28       8.15
     8.02       7.88
     8.11        7.9
     8.19       7.75
     8.01       7.64
     7.87       7.69
     7.84       7.63
     8.21       7.64
     8.47       7.74
     8.59        7.9
     8.79       7.77
     8.76       7.74
     8.48       7.73
     8.47       7.62
     8.75       7.45
     8.89       7.36
     8.72       7.17
     8.39       7.06
     8.08       6.74
     8.09       6.22
     7.85       5.94
     8.11       5.91
     8.04       5.65
     8.07       5.46
     8.28       5.57
     8.27       5.58
      7.9       5.33
     7.65       5.22
     7.53       4.99
     7.42       4.56
     7.09       4.07
     7.03        3.8
     7.34       3.84
     7.54       4.04
     7.48       3.75
     7.39       3.63
     7.26       3.66
     6.84       3.21
     6.59       3.13
     6.42       2.91
     6.59       2.86
     6.87       3.13
     6.77       3.22
      6.6       3.02
     6.26       2.93
     5.98       2.95
     5.97       2.87
     6.04       2.96
     5.96       3.07
     5.81       3.04
     5.68       3.02
     5.36       2.95
     5.33       3.02
     5.72        3.1
     5.77       3.06
     5.75       2.98
     5.97       3.25
     6.48        3.5
     6.97       3.68
     7.18       4.14
      7.1       4.14
      7.3       4.33
     7.24       4.48
     7.46       4.62
     7.74       4.95
     7.96       5.29
     7.81        5.6
     7.78       5.71
     7.47       5.77
      7.2       5.73
     7.06       5.65
     6.63       5.67
     6.17       5.47
     6.28       5.42
     6.49        5.4
      6.2       5.28
     6.04       5.28
     5.93       5.36
     5.71       5.14
     5.65       5.01
     5.81       4.83
     6.27       4.96
     6.51       4.95
     6.74       5.02
     6.91       5.09
     6.87       5.15
     6.64       5.05
     6.83       5.09
     6.53       4.99
      6.2       5.03
      6.3       4.91
     6.58       5.03
     6.42       5.01
     6.69       5.14
     6.89       5.16
     6.71       5.05
     6.49       4.93
     6.22       5.05
      6.3       5.14
     6.21       4.95
     6.03       4.97
     5.88       5.14
     5.81       5.16
     5.54       5.04
     5.57       5.09
     5.65       5.03
     5.64       4.95
     5.65       5.01
      5.5       4.98
     5.46       4.96
     5.34        4.9
     4.81       4.61
     4.53       3.96
     4.83       4.41
     4.65       4.39
     4.72       4.34
     5.04       4.44
     5.23       4.44
     5.18       4.29
     5.54        4.5
      5.9       4.57
     5.79       4.55
     5.94       4.72
     5.92       4.68
     6.11       4.86
     6.03       5.07
     6.28        5.2
     6.66       5.32
     6.52       5.55
     6.26       5.69
     5.99       5.66
     6.44       5.79
      6.1       5.69
     6.05       5.96
     5.83       6.09
      5.8       6.04
     5.74       6.11
     5.72       6.17
     5.24       5.77
     5.16       5.15
      5.1       4.88
     4.89       4.42
     5.14       3.87
     5.39       3.62
     5.28       3.49
     5.24       3.51
     4.97       3.36
     4.73       2.64
     4.57       2.16
     4.65       1.87
     5.09       1.69
     5.04       1.65
     4.91       1.73
     5.28       1.79
     5.21       1.72
     5.16       1.73
     4.93        1.7
     4.65       1.68
     4.26       1.62
     3.87       1.63
     3.94       1.58
     4.05       1.23
     4.03       1.19
     4.05       1.17
      3.9       1.17
     3.81       1.13
     3.96       1.13
     3.57       1.07
     3.33        .92
     3.98         .9
     4.45        .95
     4.27        .94
     4.29        .92
      4.3        .93
     4.27         .9
     4.15        .88
     4.08        .93
     3.83        .94
     4.35        .94
     4.72       1.02
     4.73       1.27
      4.5       1.33
     4.28       1.48
     4.13       1.65
      4.1       1.76
     4.19       2.07
     4.23       2.19
     4.22       2.33
     4.17       2.54
      4.5       2.74
     4.34       2.78
     4.14       2.84
     4.03       2.97
     4.18       3.22
     4.26       3.44
      4.2       3.42
     4.46       3.71
     4.54       3.88
     4.47       3.89
     4.42       4.24
     4.57       4.43
     4.72       4.51
     4.99        4.6
     5.11       4.72
     5.11       4.79
     5.09       4.95
     4.88       4.96
     4.72       4.81
     4.73       4.92
      4.6       4.94
     4.56       4.85
     4.76       4.98
     4.72       5.03
     4.56       4.94
     4.69       4.87
     4.75       4.73
      5.1       4.61
     5.04       4.82
     4.67        4.2
     4.52       3.89
     4.53        3.9
     4.15       3.27
      4.1       3.02
     3.74       2.75
     3.74       2.12
     3.51       1.26
